"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.697447083E-1,4.131408691E-2,7.244934082E-2,9.853858795E0,9.854211735E0
9.797427083E-1,4.326004028E-2,7.619155884E-2,9.857750702E0,9.858140062E0
9.897397083E-1,4.146377563E-2,6.795867920E-2,9.854008484E0,9.854330055E0
9.997377083E-1,3.921844482E-2,7.604187012E-2,9.856104126E0,9.856475485E0
1.009734708E0,4.116439819E-2,7.020401001E-2,9.863887939E0,9.864223659E0
1.019731708E0,4.311035156E-2,6.676116943E-2,9.862091675E0,9.862411863E0
1.029729708E0,4.041595459E-2,6.900650024E-2,9.861193542E0,9.861517806E0
1.039726708E0,4.670288086E-2,6.631210327E-2,9.872270508E0,9.872603681E0
1.049724708E0,3.861968994E-2,6.900650024E-2,9.863289185E0,9.863606182E0
1.059721708E0,4.011657715E-2,6.855743408E-2,9.848619690E0,9.848940007E0
1.069718708E0,4.326004028E-2,7.364685059E-2,9.858050079E0,9.858420089E0
1.079716708E0,3.592529297E-2,7.454498291E-2,9.858648834E0,9.858996116E0
1.089715708E0,5.014572144E-2,7.574249268E-2,9.871222687E0,9.871640636E0
1.099713708E0,4.969665527E-2,7.304809570E-2,9.857151947E0,9.857547884E0
1.109712708E0,4.999603271E-2,6.885681152E-2,9.863139496E0,9.863506556E0
1.119710708E0,4.251159668E-2,7.244934082E-2,9.860295410E0,9.860653210E0
1.129708708E0,3.891906738E-2,6.945556641E-2,9.858499146E0,9.858820628E0
1.139706708E0,4.415817261E-2,7.723937988E-2,9.847422180E0,9.847824098E0
1.149704708E0,4.296066284E-2,7.708969116E-2,9.859696655E0,9.860091611E0
1.159701708E0,4.311035156E-2,8.232879639E-2,9.864786072E0,9.865223808E0
1.169699708E0,5.209167480E-2,7.289840698E-2,9.860744476E0,9.861151522E0
1.179696708E0,4.999603271E-2,6.945556641E-2,9.850266266E0,9.850638009E0
1.189693708E0,4.565505981E-2,7.574249268E-2,9.857750702E0,9.858147403E0
1.199690708E0,4.640350342E-2,7.259902954E-2,9.852511597E0,9.852888341E0
1.209686708E0,4.251159668E-2,6.197113037E-2,9.856403503E0,9.856689996E0
1.219682708E0,4.610412598E-2,6.915618896E-2,9.853110352E0,9.853460903E0
1.229680708E0,3.891906738E-2,7.334747314E-2,9.864037628E0,9.864387101E0
1.239676708E0,4.146377563E-2,5.972579956E-2,9.844278717E0,9.844547215E0
1.249673708E0,3.757186890E-2,6.421646118E-2,9.855505371E0,9.855786195E0
1.259669708E0,3.517684937E-2,6.571334839E-2,9.854307861E0,9.854589747E0
1.269666708E0,3.697311401E-2,6.810836792E-2,9.844428406E0,9.844733435E0
1.279663708E0,4.984634399E-2,7.514373779E-2,9.855056305E0,9.855468838E0
1.289660708E0,4.715194702E-2,7.095245361E-2,9.866732025E0,9.867099797E0
1.299657708E0,3.861968994E-2,5.598358154E-2,9.854307861E0,9.854542560E0
1.309654708E0,4.131408691E-2,6.496490479E-2,9.862091675E0,9.862392179E0
1.319651708E0,4.745132446E-2,6.885681152E-2,9.857451324E0,9.857806019E0
1.329648708E0,4.580474854E-2,7.065307617E-2,9.858948212E0,9.859307773E0
1.339645708E0,4.385879517E-2,7.379653931E-2,9.851014709E0,9.851388751E0
1.349642708E0,4.520599365E-2,6.825805664E-2,9.859846344E0,9.860186239E0
1.359640708E0,4.670288086E-2,6.676116943E-2,9.860145721E0,9.860482334E0
1.369636708E0,4.385879517E-2,7.394622803E-2,9.863588562E0,9.863963248E0
1.379633708E0,4.415817261E-2,7.020401001E-2,9.857601013E0,9.857949903E0
1.389630708E0,4.400848389E-2,7.020401001E-2,9.853709106E0,9.854057464E0
1.399628708E0,4.281097412E-2,7.020401001E-2,9.858349457E0,9.858692378E0
1.409625708E0,3.981719971E-2,6.945556641E-2,9.850266266E0,9.850591606E0
1.419621708E0,3.682342529E-2,7.005432129E-2,9.860145721E0,9.860463337E0
1.429618708E0,4.984634399E-2,7.694000244E-2,9.848320312E0,9.848746996E0
1.439616708E0,4.236190796E-2,7.768844604E-2,9.848919067E0,9.849316566E0
1.449614708E0,4.939727783E-2,7.409591675E-2,9.857151947E0,9.857554200E0
1.459612708E0,4.251159668E-2,8.023315430E-2,9.865983582E0,9.866401402E0
1.469610708E0,3.861968994E-2,7.065307617E-2,9.862540741E0,9.862869420E0
1.479608708E0,4.221221924E-2,7.903564453E-2,9.865534515E0,9.865941404E0
1.489605708E0,4.236190796E-2,6.526428223E-2,9.869276733E0,9.869583436E0
1.499602708E0,3.592529297E-2,7.110214233E-2,9.858050079E0,9.858371950E0
1.509598708E0,3.682342529E-2,7.349716187E-2,9.858948212E0,9.859290930E0
1.519595708E0,4.580474854E-2,7.274871826E-2,9.869725800E0,9.870100192E0
1.529592708E0,4.745132446E-2,6.601272583E-2,9.855655060E0,9.855990359E0
1.539589708E0,3.861968994E-2,6.795867920E-2,9.852361908E0,9.852671974E0
1.549586708E0,4.071533203E-2,7.843688965E-2,9.859397278E0,9.859793343E0
1.559583708E0,4.849914551E-2,6.586303711E-2,9.855355682E0,9.855695091E0
1.569581708E0,4.565505981E-2,7.095245361E-2,9.868079224E0,9.868439907E0
1.579579708E0,4.116439819E-2,6.541397095E-2,9.864486694E0,9.864789467E0
1.589577708E0,3.966751099E-2,6.301895142E-2,9.864486694E0,9.864767744E0
1.599575708E0,3.906875610E-2,7.619155884E-2,9.860295410E0,9.860667173E0
1.609572708E0,4.206253052E-2,6.646179199E-2,9.853559418E0,9.853873331E0
1.619569708E0,4.879852295E-2,7.409591675E-2,9.864486694E0,9.864885668E0
1.629567708E0,3.981719971E-2,7.214996338E-2,9.860445099E0,9.860789450E0
1.639564708E0,4.550537109E-2,7.349716187E-2,9.860445099E0,9.860824008E0
1.649561708E0,4.340972900E-2,6.795867920E-2,9.854607239E0,9.854937170E0
1.659558708E0,3.906875610E-2,6.227050781E-2,9.860145721E0,9.860419749E0
1.669555708E0,4.565505981E-2,7.050338745E-2,9.857601013E0,9.857958858E0
1.679553708E0,4.460723877E-2,7.708969116E-2,9.853858795E0,9.854261301E0
1.689550708E0,4.221221924E-2,7.185058594E-2,9.861642609E0,9.861994693E0
1.699548708E0,4.326004028E-2,6.960525513E-2,9.864636383E0,9.864976801E0
1.709545708E0,4.251159668E-2,7.619155884E-2,9.865085449E0,9.865471266E0
1.719542708E0,4.984634399E-2,6.152206421E-2,9.868977356E0,9.869294994E0
1.729540708E0,4.655319214E-2,6.616241455E-2,9.847871246E0,9.848203529E0
1.739537708E0,4.819976807E-2,7.200027466E-2,9.867181091E0,9.867561499E0
1.749533708E0,4.071533203E-2,7.514373779E-2,9.866432648E0,9.866802801E0
1.759530708E0,4.340972900E-2,6.915618896E-2,9.849068756E0,9.849407208E0
1.769528708E0,3.966751099E-2,7.319778442E-2,9.861642609E0,9.861994036E0
1.779524708E0,5.014572144E-2,7.080276489E-2,9.868827667E0,9.869209044E0
1.789520708E0,4.415817261E-2,6.077362061E-2,9.854756927E0,9.855043251E0
1.799517708E0,4.101470947E-2,5.972579956E-2,9.859696655E0,9.859962855E0
1.809514708E0,4.700225830E-2,7.259902954E-2,9.846973114E0,9.847352910E0
1.819510708E0,4.565505981E-2,7.364685059E-2,9.856253815E0,9.856634695E0
1.829506708E0,5.343887329E-2,6.990463257E-2,9.863438873E0,9.863831344E0
1.839503708E0,4.655319214E-2,6.765930176E-2,9.870174866E0,9.870516545E0
1.849499708E0,4.520599365E-2,5.942642212E-2,9.853110352E0,9.853393257E0
1.859494708E0,4.086502075E-2,6.661148071E-2,9.868528290E0,9.868837705E0
1.869490708E0,3.832031250E-2,7.080276489E-2,9.857451324E0,9.857780079E0
1.879487708E0,3.293151855E-2,6.870712280E-2,9.851463776E0,9.851758405E0
1.889483708E0,3.951782227E-2,6.481521606E-2,9.844278717E0,9.844571404E0
1.899479708E0,3.981719971E-2,8.053253174E-2,9.857151947E0,9.857561332E0
1.909476708E0,3.772155762E-2,7.200027466E-2,9.859397278E0,9.859732331E0
1.919473708E0,3.832031250E-2,6.661148071E-2,9.859097900E0,9.859397393E0
1.929468708E0,4.445755005E-2,7.185058594E-2,9.851463776E0,9.851826100E0
1.939464708E0,4.520599365E-2,7.544311523E-2,9.858798523E0,9.859190817E0
1.949461708E0,4.311035156E-2,6.451583862E-2,9.860145721E0,9.860451026E0
1.959458708E0,4.550537109E-2,6.900650024E-2,9.863289185E0,9.863635545E0
1.969454708E0,4.370910645E-2,6.915618896E-2,9.853858795E0,9.854198406E0
1.979450708E0,4.026626587E-2,7.155120850E-2,9.864187317E0,9.864528999E0
1.989447708E0,4.490661621E-2,8.577163696E-2,9.861343231E0,9.861818478E0
1.999444708E0,4.445755005E-2,6.331832886E-2,9.866133270E0,9.866436611E0
2.009440708E0,4.101470947E-2,5.987548828E-2,9.864187317E0,9.864454303E0
2.019437708E0,4.041595459E-2,7.559280396E-2,9.859397278E0,9.859769896E0
2.029434708E0,3.951782227E-2,7.679031372E-2,9.862091675E0,9.862469803E0
2.039430708E0,4.011657715E-2,7.604187012E-2,9.859996033E0,9.860370859E0
2.049427708E0,4.116439819E-2,7.559280396E-2,9.851164398E0,9.851540427E0
2.059423708E0,4.655319214E-2,7.244934082E-2,9.846823425E0,9.847199992E0
2.069419708E0,5.134323120E-2,7.050338745E-2,9.863139496E0,9.863525109E0
2.079415708E0,4.909790039E-2,6.601272583E-2,9.862840118E0,9.863183233E0
2.089411708E0,4.520599365E-2,6.855743408E-2,9.862391052E0,9.862732936E0
2.099408708E0,4.340972900E-2,7.439529419E-2,9.865085449E0,9.865461468E0
2.109405708E0,4.849914551E-2,6.795867920E-2,9.860744476E0,9.861097919E0
2.119403708E0,3.847000122E-2,6.975494385E-2,9.867480469E0,9.867802009E0
2.129400708E0,4.116439819E-2,7.364685059E-2,9.857002258E0,9.857363333E0
2.139398708E0,4.355941772E-2,7.005432129E-2,9.859696655E0,9.860041743E0
2.149394708E0,3.936813354E-2,6.840774536E-2,9.862391052E0,9.862706867E0
