"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.189773292E0,1.055305481E-1,4.681365051E0,8.656349030E0,9.841681460E0
1.199769292E0,9.819580078E-2,4.687651978E0,8.665180664E0,9.852364154E0
1.209767292E0,1.073268127E-1,4.693489838E0,8.666228485E0,9.856159600E0
1.219765292E0,1.091230774E-1,4.682562561E0,8.665629730E0,9.850453726E0
1.229763292E0,1.038839722E-1,4.687651978E0,8.656049652E0,9.844392745E0
1.239760292E0,1.056802368E-1,4.682712250E0,8.652606812E0,9.839032827E0
1.249757292E0,1.044827271E-1,4.688999176E0,8.662935333E0,9.851095294E0
1.259755292E0,1.011895752E-1,4.686005402E0,8.655899963E0,9.843449097E0
1.269752292E0,1.073268127E-1,4.686454468E0,8.657247162E0,9.844912541E0
1.279748292E0,9.774673462E-2,4.681365051E0,8.660989380E0,9.845682821E0
1.289745292E0,1.082249451E-1,4.684508514E0,8.657845917E0,9.844522770E0
1.299743292E0,1.034349060E-1,4.688250732E0,8.662785645E0,9.850596369E0
1.309741292E0,1.019380188E-1,4.686005402E0,8.657396851E0,9.844773142E0
1.319738292E0,1.037342834E-1,4.686005402E0,8.662935333E0,9.849662736E0
1.329735292E0,9.969268799E-2,4.686903534E0,8.661588135E0,9.848863507E0
1.339733292E0,9.969268799E-2,4.686005402E0,8.659642181E0,9.846724733E0
1.349730292E0,1.013392639E-1,4.687352600E0,8.670270081E0,9.856730052E0
1.359727292E0,1.020877075E-1,4.684658203E0,8.668324127E0,9.853744849E0
1.369725292E0,1.074765015E-1,4.679868164E0,8.655750275E0,9.840463914E0
1.379723292E0,1.029858398E-1,4.686903534E0,8.645272064E0,9.834551331E0
1.389721292E0,1.010398865E-1,4.686155090E0,8.663384399E0,9.850100905E0
1.399719292E0,1.055305481E-1,4.689747620E0,8.663983154E0,9.852384155E0
1.409718292E0,1.037342834E-1,4.691693573E0,8.667575684E0,9.856450559E0
1.419716292E0,1.050814819E-1,4.690945129E0,8.650960236E0,9.841499953E0
1.429714292E0,1.101708984E-1,4.686454468E0,8.647367706E0,9.836257487E0
1.439712292E0,1.065783691E-1,4.683161316E0,8.658893738E0,9.844785403E0
1.449711292E0,1.031355286E-1,4.686005402E0,8.670569458E0,9.856371456E0
1.459711292E0,1.077758789E-1,4.681814117E0,8.681646423E0,9.864176787E0
1.469709292E0,1.061293030E-1,4.686454468E0,8.669222260E0,9.855431675E0
1.479707292E0,1.043330383E-1,4.686454468E0,8.671467590E0,9.857387637E0
1.489706292E0,9.355545044E-2,4.684059448E0,8.655151520E0,9.841789134E0
1.499705292E0,1.014889526E-1,4.677473145E0,8.653504944E0,9.837286355E0
1.509704292E0,1.059796143E-1,4.676724701E0,8.672814789E0,9.853968843E0
1.519704292E0,1.047821045E-1,4.683460693E0,8.662785645E0,9.848331761E0
1.529702292E0,1.091230774E-1,4.689597931E0,8.667875061E0,9.855774687E0
1.539701292E0,1.011895752E-1,4.690645752E0,8.669521637E0,9.857636751E0
1.549700292E0,1.044827271E-1,4.694537659E0,8.654103699E0,9.845969292E0
1.559697292E0,9.759704590E-2,4.686753845E0,8.660690002E0,9.847981423E0
1.569696292E0,9.744735718E-2,4.685256958E0,8.653504944E0,9.840948967E0
1.579693292E0,9.295669556E-2,4.687053223E0,8.656648407E0,9.844524900E0
1.589691292E0,9.056167603E-2,4.684807892E0,8.672515411E0,9.857390626E0
1.599689292E0,1.035845947E-1,4.680915985E0,8.658744049E0,9.843553867E0
1.609689292E0,1.071771240E-1,4.677473145E0,8.661588135E0,9.844457881E0
1.619687292E0,9.340576172E-2,4.688250732E0,8.659941559E0,9.847995094E0
1.629686292E0,1.013392639E-1,4.694088593E0,8.663234711E0,9.853749186E0
1.639684292E0,1.085243225E-1,4.683909760E0,8.656798096E0,9.843319635E0
1.649682292E0,1.020877075E-1,4.682562561E0,8.659941559E0,9.845374642E0
1.659681292E0,1.050814819E-1,4.688849487E0,8.658145294E0,9.846818347E0
1.669681292E0,1.082249451E-1,4.692741394E0,8.657396851E0,9.848048266E0
1.679680292E0,9.834548950E-2,4.696333923E0,8.657995605E0,9.850183352E0
1.689679292E0,9.969268799E-2,4.678371277E0,8.665480042E0,9.848230338E0
1.699679292E0,1.109193420E-1,4.685256958E0,8.667276306E0,9.853203257E0
1.709678292E0,1.050814819E-1,4.682263184E0,8.660839691E0,9.846053768E0
1.719677292E0,9.909393311E-2,4.681215363E0,8.647966461E0,9.834171078E0
1.729676292E0,1.073268127E-1,4.693489838E0,8.660240936E0,9.850895339E0
1.739674292E0,1.106199646E-1,4.693639526E0,8.671617279E0,9.861005781E0
1.749672292E0,1.023870850E-1,4.688550110E0,8.664282532E0,9.852044308E0
1.759670292E0,1.077758789E-1,4.693190460E0,8.652606812E0,9.844046778E0
1.769668292E0,1.049317932E-1,4.689597931E0,8.655899963E0,9.845199013E0
1.779665667E0,1.013392639E-1,4.681814117E0,8.661887512E0,9.846722721E0
1.789664667E0,9.714797974E-2,4.691992950E0,8.655600586E0,9.845997008E0
1.799663667E0,1.020877075E-1,4.682263184E0,8.657845917E0,9.843388966E0
1.809661667E0,1.034349060E-1,4.683909760E0,8.655600586E0,9.842211688E0
1.819659667E0,1.058299255E-1,4.686005402E0,8.659193115E0,9.846393858E0
1.829657667E0,1.040336609E-1,4.689298553E0,8.658594360E0,9.847415916E0
1.839655667E0,1.116677856E-1,4.694687347E0,8.656199341E0,9.847961516E0
1.849654667E0,1.016386414E-1,4.688250732E0,8.654852142E0,9.843601523E0
1.859653667E0,9.804611206E-2,4.689448242E0,8.666078796E0,9.854007284E0
1.869652667E0,9.999206543E-2,4.685256958E0,8.667126617E0,9.852954632E0
1.879651667E0,1.035845947E-1,4.686155090E0,8.653654633E0,9.841570901E0
1.889649667E0,1.038839722E-1,4.685256958E0,8.652756500E0,9.840356685E0
1.899647667E0,1.017883301E-1,4.695286102E0,8.669671326E0,9.859983435E0
1.909645667E0,1.025367737E-1,4.690645752E0,8.657546539E0,9.847120566E0
1.919642667E0,1.052311707E-1,4.687651978E0,8.659342804E0,9.847302801E0
1.929639667E0,9.879455566E-2,4.690196686E0,8.658294983E0,9.847526457E0
1.939637667E0,9.834548950E-2,4.689597931E0,8.652457123E0,9.842104188E0
1.949634667E0,1.053808594E-1,4.682562561E0,8.656798096E0,9.842644489E0
1.959632667E0,1.041833496E-1,4.676575012E0,8.663384399E0,9.845579580E0
1.969629667E0,1.079255676E-1,4.680317230E0,8.665030975E0,9.848846588E0
1.979627667E0,1.037342834E-1,4.692292328E0,8.657396851E0,9.847785960E0
1.989626667E0,1.047821045E-1,4.689897308E0,8.665480042E0,9.853763768E0
1.999624667E0,1.064286804E-1,4.682861938E0,8.660390625E0,9.845957992E0
2.009622667E0,1.037342834E-1,4.692292328E0,8.656049652E0,9.846601631E0
2.019620667E0,1.049317932E-1,4.689597931E0,8.662336578E0,9.850858563E0
2.029618667E0,1.061293030E-1,4.690196686E0,8.671467590E0,9.859186506E0
2.039617667E0,1.046324158E-1,4.686005402E0,8.647816772E0,9.836377865E0
2.049615667E0,1.068777466E-1,4.688550110E0,8.668473816E0,9.855778167E0
2.059613667E0,1.050814819E-1,4.687352600E0,8.663085022E0,9.850449666E0
2.069611667E0,9.654922485E-2,4.691843262E0,8.655151520E0,9.845525013E0
2.079609667E0,9.969268799E-2,4.683011627E0,8.661588135E0,9.847012011E0
2.089607667E0,1.083746338E-1,4.689597931E0,8.662486267E0,9.851027466E0
2.099606667E0,1.014889526E-1,4.682412872E0,8.658294983E0,9.843848959E0
2.109605667E0,1.019380188E-1,4.690046997E0,8.675958252E0,9.863021027E0
2.119603667E0,1.079255676E-1,4.695884857E0,8.666976929E0,9.857964881E0
2.129601667E0,1.064286804E-1,4.689148865E0,8.668473816E0,9.856058159E0
2.139599667E0,9.595046997E-2,4.682113495E0,8.662486267E0,9.847337792E0
2.149597667E0,1.056802368E-1,4.683909760E0,8.654552765E0,9.841314064E0
2.159594667E0,1.089733887E-1,4.696184235E0,8.659492493E0,9.851539565E0
2.169593667E0,1.077758789E-1,4.683909760E0,8.657845917E0,9.844232941E0
2.179592667E0,1.025367737E-1,4.676125946E0,8.664132843E0,9.846007596E0
